"날짜","현재가","오픈","고가","저가","변동 %"
"2019년 9월","1.3241","1.3315","1.3384","1.3131","-0.53%"
"2019년 8월","1.3312","1.3192","1.3346","1.3175","0.92%"
"2019년 7월","1.3191","1.3094","1.3215","1.3014","0.76%"
"2019년 6월","1.3092","1.3523","1.3530","1.3057","-3.12%"
"2019년 5월","1.3514","1.3388","1.3566","1.3355","0.93%"
"2019년 4월","1.3389","1.3355","1.3524","1.3273","0.32%"
"2019년 3월","1.3346","1.3172","1.3471","1.3128","1.35%"
"2019년 2월","1.3168","1.3123","1.3343","1.3066","0.34%"
"2019년 1월","1.3124","1.3636","1.3664","1.3116","-3.77%"
"2018년 12월","1.3638","1.3256","1.3664","1.3157","2.57%"
"2018년 11월","1.3296","1.3157","1.3362","1.3047","1.07%"
"2018년 10월","1.3155","1.2902","1.3173","1.2780","1.93%"
"2018년 9월","1.2906","1.3039","1.3228","1.2882","-1.02%"
"2018년 8월","1.3039","1.3005","1.3176","1.2885","0.25%"
"2018년 7월","1.3007","1.3141","1.3291","1.2983","-0.95%"
"2018년 6월","1.3132","1.2957","1.3387","1.2857","1.34%"
"2018년 5월","1.2958","1.2844","1.3049","1.2727","0.92%"
"2018년 4월","1.2840","1.2902","1.2945","1.2524","-0.42%"
"2018년 3월","1.2894","1.2832","1.3127","1.2804","0.48%"
"2018년 2월","1.2832","1.2315","1.2843","1.2254","4.20%"
"2018년 1월","1.2315","1.2579","1.2591","1.2248","-2.10%"
"2017년 12월","1.2579","1.2897","1.2920","1.2513","-2.46%"
"2017년 11월","1.2896","1.2890","1.2913","1.2665","0.08%"
"2017년 10월","1.2886","1.2475","1.2918","1.2431","3.34%"
"2017년 9월","1.2470","1.2479","1.2530","1.2060","-0.10%"
"2017년 8월","1.2482","1.2479","1.2780","1.2440","0.02%"
"2017년 7월","1.2479","1.2966","1.3016","1.2414","-3.75%"
"2017년 6월","1.2965","1.3501","1.3549","1.2948","-3.97%"
"2017년 5월","1.3501","1.3655","1.3795","1.3387","-1.11%"
"2017년 4월","1.3652","1.3304","1.3699","1.3222","2.55%"
"2017년 3월","1.3313","1.3301","1.3536","1.3264","0.10%"
"2017년 2월","1.3300","1.3033","1.3315","1.2978","2.07%"
"2017년 1월","1.3030","1.3438","1.3462","1.2969","-3.00%"
"2016년 12월","1.3433","1.3440","1.3600","1.3080","-0.01%"
"2016년 11월","1.3435","1.3407","1.3590","1.3262","0.19%"
"2016년 10월","1.3410","1.3134","1.3433","1.3004","2.14%"
"2016년 9월","1.3129","1.3107","1.3282","1.2820","0.18%"
"2016년 8월","1.3106","1.3028","1.3202","1.2761","0.58%"
"2016년 7월","1.3030","1.2925","1.3253","1.2829","0.81%"
"2016년 6월","1.2925","1.3094","1.3145","1.2653","-1.29%"
"2016년 5월","1.3094","1.2550","1.3190","1.2459","4.31%"
"2016년 4월","1.2553","1.3004","1.3219","1.2497","-3.48%"
"2016년 3월","1.3006","1.3541","1.3554","1.2854","-3.94%"
"2016년 2월","1.3540","1.3973","1.4103","1.3481","-3.10%"
"2016년 1월","1.3973","1.3841","1.4691","1.3814","0.95%"
"2015년 12월","1.3841","1.3363","1.4001","1.3291","3.58%"
"2015년 11월","1.3362","1.3075","1.3436","1.3034","2.17%"
"2015년 10월","1.3078","1.3312","1.3333","1.2829","-1.78%"
"2015년 9월","1.3315","1.3141","1.3458","1.3010","1.35%"
"2015년 8월","1.3137","1.3096","1.3354","1.2950","0.37%"
"2015년 7월","1.3089","1.2494","1.3106","1.2473","4.77%"
"2015년 6월","1.2493","1.2441","1.2564","1.2126","0.36%"
"2015년 5월","1.2448","1.2079","1.2539","1.1919","3.08%"
"2015년 4월","1.2076","1.2684","1.2711","1.1944","-4.82%"
"2015년 3월","1.2688","1.2479","1.2834","1.2406","1.44%"
"2015년 2월","1.2508","1.2732","1.2774","1.2353","-1.76%"
"2015년 1월","1.2732","1.1622","1.2798","1.1598","9.56%"
"2014년 12월","1.1621","1.1421","1.1675","1.1313","1.80%"
"2014년 11월","1.1415","1.1264","1.1467","1.1191","1.32%"
"2014년 10월","1.1266","1.1196","1.1386","1.1068","0.60%"
"2014년 9월","1.1199","1.0877","1.1222","1.0820","2.95%"
"2014년 8월","1.0878","1.0908","1.1000","1.0811","-0.26%"
"2014년 7월","1.0906","1.0672","1.0932","1.0618","2.20%"
"2014년 6월","1.0671","1.0846","1.0963","1.0647","-1.59%"
"2014년 5월","1.0843","1.0963","1.1006","1.0812","-1.08%"
"2014년 4월","1.0961","1.1051","1.1074","1.0857","-0.81%"
"2014년 3월","1.1050","1.1055","1.1280","1.0953","-0.14%"
"2014년 2월","1.1065","1.1128","1.1180","1.0908","-0.58%"
"2014년 1월","1.1129","1.0624","1.1227","1.0588","4.76%"
"2013년 12월","1.0623","1.0615","1.0740","1.0559","0.08%"
"2013년 11월","1.0615","1.0432","1.0630","1.0395","1.76%"
"2013년 10월","1.0431","1.0311","1.0498","1.0270","1.17%"
"2013년 9월","1.0310","1.0521","1.0560","1.0180","-2.15%"
"2013년 8월","1.0537","1.0277","1.0572","1.0267","2.53%"
"2013년 7월","1.0277","1.0516","1.0610","1.0245","-2.30%"
"2013년 6월","1.0519","1.0359","1.0557","1.0134","1.36%"
"2013년 5월","1.0378","1.0075","1.0423","1.0014","3.03%"
"2013년 4월","1.0073","1.0177","1.0295","1.0055","-0.99%"
"2013년 3월","1.0174","1.0309","1.0345","1.0145","-1.28%"
"2013년 2월","1.0306","0.9973","1.0315","0.9931","3.37%"
"2013년 1월","0.9970","0.9921","1.0102","0.9812","0.48%"
"2012년 12월","0.9922","0.9939","0.9977","0.9822","-0.21%"
"2012년 11월","0.9943","0.9993","1.0057","0.9871","-0.50%"
"2012년 10월","0.9993","0.9837","1.0022","0.9734","1.58%"
"2012년 9월","0.9838","0.9871","0.9921","0.9633","-0.27%"
"2012년 8월","0.9865","1.0033","1.0088","0.9841","-1.65%"
"2012년 7월","1.0031","1.0163","1.0252","1.0003","-1.34%"
"2012년 6월","1.0167","1.0329","1.0448","1.0156","-1.61%"
"2012년 5월","1.0333","0.9871","1.0368","0.9828","4.68%"
"2012년 4월","0.9871","0.9954","1.0052","0.9798","-1.08%"
"2012년 3월","0.9979","0.9893","1.0034","0.9839","0.84%"
