날짜,현재가,오픈,고가,저가,변동 %
2019년 9월,1199.09 ,"1,210.05","1,217.80","1,175.75",-0.94%
2019년 8월,1210.50 ,"1,188.32","1,224.96","1,186.48",1.87%
2019년 7월,1188.32 ,"1,156.43","1,189.58","1,149.40",2.76%
2019년 6월,1156.38 ,"1,188.80","1,191.80","1,152.40",-2.73%
2019년 5월,1188.80 ,"1,164.25","1,197.60","1,160.67",2.11%
2019년 4월,1164.25 ,"1,137.02","1,169.78","1,131.42",2.36%
2019년 3월,1137.40 ,"1,125.90","1,140.72","1,124.00",1.02%
2019년 2월,1125.90 ,"1,112.70","1,131.17","1,111.90",1.21%
2019년 1월,1112.40 ,"1,114.30","1,134.40","1,109.40",-0.17%
2018년 12월,1114.30 ,"1,120.56","1,135.89","1,104.70",-0.55%
2018년 11월,1120.44 ,"1,142.03","1,142.92","1,111.20",-1.89%
2018년 10월,1142.02 ,"1,110.00","1,147.26","1,109.10",2.87%
2018년 9월,1110.15 ,"1,114.83","1,131.02","1,106.82",-0.49%
2018년 8월,1115.63 ,"1,112.42","1,138.24","1,103.67",0.21%
2018년 7월,1113.25 ,"1,115.01","1,141.40","1,109.60",-0.16%
2018년 6월,1115.04 ,"1,080.71","1,126.30","1,066.08",3.19%
2018년 5월,1080.59 ,"1,070.33","1,087.67","1,064.33",0.95%
2018년 4월,1070.45 ,"1,060.68","1,085.42","1,053.12",0.87%
2018년 3월,1061.26 ,"1,085.21","1,088.58","1,060.47",-2.21%
2018년 2월,1085.21 ,"1,070.12","1,099.40","1,061.86",1.41%
2018년 1월,1070.08 ,"1,067.38","1,078.20","1,055.67",0.25%
2017년 12월,1067.38 ,"1,088.13","1,097.28","1,063.94",-1.91%
2017년 11월,1088.13 ,"1,118.42","1,122.81","1,074.71",-2.71%
2017년 10월,1118.42 ,"1,145.13","1,149.88","1,116.02",-2.35%
2017년 9월,1145.30 ,"1,124.86","1,151.65","1,118.32",1.82%
2017년 8월,1124.86 ,"1,119.40","1,149.01","1,115.61",0.49%
