,  소비자물가등락률,  근원인플레이션율,  WTI 현물유가등락률
Jan-92,7.7,7.1,-12.3
Feb-92,7,6.6,-2.3
Mar-92,6.8,6.9,-2
Apr-92,6.9,7.2,-0.5
May-92,7.3,7.2,-0.2
Jun-92,6.8,6.6,5.1
Jul-92,6.6,5.9,0.7
Aug-92,5.9,5.6,-3.4
Sep-92,5.7,5.5,-2.5
Oct-92,5.4,5.4,-11.6
Nov-92,4.4,5.1,-7.4
Dec-92,4.5,5.2,2.1
Jan-93,4.5,5.2,7.1
Feb-93,4.6,5.3,9.9
Mar-93,4.8,5.4,6.2
Apr-93,4.8,5.3,-1.4
May-93,4.5,4.9,-5.1
Jun-93,4.8,5.2,-12.7
Jul-93,4.3,5.1,-18.1
Aug-93,4.4,5.2,-14.9
Sep-93,4.6,5.1,-13.4
Oct-93,5.1,5.1,-18.2
Nov-93,5.5,5,-22.4
Dec-93,5.8,5,-27.4
Jan-94,6.3,5.5,-21.5
Feb-94,6.8,5.6,-29.4
Mar-94,6.4,5,-27.6
Apr-94,5.9,4.8,-17.8
May-94,5.7,5,-8.6
Jun-94,5.9,5.6,2.7
Jul-94,6.9,5.7,13.4
Aug-94,7.4,5.4,-4.1
Sep-94,6.5,4.8,-2.1
Oct-94,5.7,4.6,7.7
Nov-94,6.1,4.8,16.8
Dec-94,5.6,4.7,25.4
Jan-95,5.2,4.6,15.7
Feb-95,4.5,4,27.6
Mar-95,4.6,4.1,29.7
Apr-95,5.1,4.5,20.7
May-95,5.2,4.5,3.3
Jun-95,4.2,3.6,-9.8
Jul-95,3.6,4,-13.3
Aug-95,3.4,4.4,1.7
Sep-95,4.7,5,-4.6
Oct-95,4.5,5.1,-3
Nov-95,4.1,5.4,0.8
Dec-95,4.8,5.9,10.4
Jan-96,4.8,5.6,-3.5
Feb-96,4.8,5.7,5.7
Mar-96,4.4,5.7,12
Apr-96,4.5,5.4,3.9
May-96,4.9,5.5,4.8
Jun-96,5.2,5.4,20.1
Jul-96,5.4,5.1,16.2
Aug-96,5.3,4.9,24.6
Sep-96,4.5,4.8,39
Oct-96,5,4.8,32.3
Nov-96,5.3,4.3,30.5
Dec-96,4.9,3.8,32.4
Jan-97,4.7,3.5,36.1
Feb-97,4.9,3.5,3.8
Mar-97,4.5,3.2,-4.9
Apr-97,4.3,3,-3.5
May-97,3.8,2.9,5.6
Jun-97,4,3,-5.5
Jul-97,3.7,3.1,-1.2
Aug-97,4,3.5,-11.7
Sep-97,4.2,3.7,-13.1
Oct-97,4.2,3.7,-9.6
Nov-97,4.3,3.8,-19.2
Dec-97,6.6,4.2,-32.2
Jan-98,8.3,6.1,-28.6
Feb-98,9.5,7,-23.9
Mar-98,9,7.4,-23.5
Apr-98,8.8,7.3,-24.7
May-98,8.2,6.9,-27.3
Jun-98,7.5,6.6,-28.2
Jul-98,7.3,6.1,-29.9
Aug-98,6.9,5.2,-32.1
Sep-98,6.9,4.8,-23.8
Oct-98,7.2,4.7,-31.6
Nov-98,6.8,4.5,-41
Dec-98,4,4,-31
Jan-99,1.5,1.8,-25.9
Feb-99,0.2,0.8,-20.6
Mar-99,0.5,0,7.2
Apr-99,0.4,-0.3,21.2
May-99,0.8,-0.3,10.9
Jun-99,0.6,-0.3,35.9
Jul-99,0.3,-0.2,44.2
Aug-99,0.9,0.3,66
Sep-99,0.8,0.3,52
Oct-99,1.2,0.5,50.9
Nov-99,1.4,0.7,119.5
Dec-99,1.4,0.5,112.2
Jan-00,1.9,1.1,116.4
Feb-00,1.8,1.1,149.1
Mar-00,2.1,1.5,61.5
Apr-00,1.4,1.6,37.8
May-00,1.1,1.5,72.3
Jun-00,2.2,1.6,67.8
Jul-00,3,2,34
Aug-00,2.4,2.1,49.4
Sep-00,3.5,2.5,25.8
Oct-00,2.6,2.3,50.1
