날짜,현재가
2019년 9월,1199.09 
2019년 8월,1210.50 
2019년 7월,1188.32 
2019년 6월,1156.38 
2019년 5월,1188.80 
2019년 4월,1164.25 
2019년 3월,1137.40 
2019년 2월,1125.90 
2019년 1월,1112.40 
2018년 12월,1114.30 
2018년 11월,1120.44 
2018년 10월,1142.02 
2018년 9월,1110.15 
2018년 8월,1115.63 
2018년 7월,1113.25 
2018년 6월,1115.04 
2018년 5월,1080.59 
2018년 4월,1070.45 
2018년 3월,1061.26 
2018년 2월,1085.21 
2018년 1월,1070.08 
2017년 12월,1067.38 
2017년 11월,1088.13 
2017년 10월,1118.42 
2017년 9월,1145.30 
2017년 8월,1124.86 
2017년 7월,1119.40 
2017년 6월,1145.43 
2017년 5월,1119.65 
2017년 4월,1137.88 
2017년 3월,1117.65 
2017년 2월,1137.80 
2017년 1월,1151.65 
2016년 12월,1207.26 
2016년 11월,1177.80 
2016년 10월,1142.73 
2016년 9월,1101.91 
2016년 8월,1116.30 
2016년 7월,1112.24 
2016년 6월,1152.35 
2016년 5월,1189.74 
2016년 4월,1144.83 
2016년 3월,1144.97 
2016년 2월,1238.24 
2016년 1월,1208.11 
2015년 12월,1175.95 
2015년 11월,1160.61 
2015년 10월,1141.16 
2015년 9월,1185.29 
2015년 8월,1182.82 
2015년 7월,1166.67 
2015년 6월,1120.03 
2015년 5월,1113.01 
2015년 4월,1077.34 
2015년 3월,1108.99 
2015년 2월,1101.28 
2015년 1월,1102.40 
2014년 12월,1093.90 
2014년 11월,1113.17 
2014년 10월,1073.60 
2014년 9월,1054.95 
2014년 8월,1014.10 
2014년 7월,1028.00 
2014년 6월,1012.00 
2014년 5월,1020.80 
2014년 4월,1033.50 
2014년 3월,1064.90 
2014년 2월,1066.46 
2014년 1월,1081.31 
2013년 12월,1050.50 
2013년 11월,1058.21 
2013년 10월,1061.28 
2013년 9월,1074.53 
2013년 8월,1110.02 
2013년 7월,1123.70 
2013년 6월,1142.40 
2013년 5월,1131.26 
2013년 4월,1101.61 
2013년 3월,1111.35 
2013년 2월,1084.35 
2013년 1월,1088.26 
2012년 12월,1063.64 
2012년 11월,1082.50 
2012년 10월,1090.32 
2012년 9월,1113.67 
2012년 8월,1133.79 
2012년 7월,1130.67 
2012년 6월,1141.32 
2012년 5월,1180.47 
2012년 4월,1130.15 
2012년 3월,1131.90 
2012년 2월,1119.30 
2012년 1월,1126.20 
2011년 12월,1159.25 
2011년 11월,1140.55 
2011년 10월,1112.35 
2011년 9월,1181.10 
2011년 8월,1065.40 
2011년 7월,1054.30 
2011년 6월,1067.00 
2011년 5월,1078.50 
2011년 4월,1068.50 
2011년 3월,1096.50 
2011년 2월,1125.35 
2011년 1월,1119.88 
2010년 12월,1121.25 
2010년 11월,1158.00 
2010년 10월,1124.50 
2010년 9월,1140.25 
2010년 8월,1199.00 
2010년 7월,1182.75 
2010년 6월,1223.25 
2010년 5월,1202.12 
2010년 4월,1108.50 
2010년 3월,1132.80 
2010년 2월,1160.00 
2010년 1월,1158.90 
