STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TRDAR_CHNGE_IX_NM,OPR_SALE_MT_AVRG,CLS_SALE_MT_AVRG,SU_OPR_SALE_MT_AVRG,SU_CLS_SALE_MT_AVRG
2014,1,A,골목상권,1000922,삼성로69길,다이나믹,73,40,91,44
2014,1,D,발달상권,1001156,서울 강동구 길동역,다이나믹,90,41,91,44
2014,1,A,골목상권,1000540,은행정로5길,상권축소,99,44,91,44
2014,1,D,발달상권,1001057,교대역_2,다이나믹,84,42,91,44
2014,1,A,골목상권,1000413,은평로13길,상권축소,99,43,91,44
2014,1,D,발달상권,1001044,양재역_3,다이나믹,85,40,91,44
2014,1,A,골목상권,1000890,개포로20길,상권축소,95,39,91,44
2014,1,A,골목상권,1000394,불광천길,정체,97,46,91,44
2014,1,A,골목상권,1000896,논현로115길,다이나믹,77,39,91,44
2014,1,A,골목상권,1001005,천호대로187길,상권축소,93,39,91,44
2014,1,U,관광특구,1001493,동대문패션타운 관광특구,상권축소,105,44,91,44
2014,1,A,골목상권,1000580,공항대로8길,다이나믹,77,41,91,44
2014,1,A,골목상권,1000284,아리랑로4길,상권확장,84,46,91,44
2014,1,A,골목상권,1000781,관악로14길,다이나믹,79,41,91,44
2014,1,A,골목상권,1000244,면목로48길,다이나믹,90,40,91,44
2014,1,A,골목상권,1000204,전농로3길,상권확장,85,51,91,44
2014,1,A,골목상권,1000288,오패산로4길,상권확장,83,45,91,44
2014,1,R,전통시장,1001413,까치산시장,상권확장,91,45,91,44
2014,1,R,전통시장,1001429,은행나무시장,상권축소,96,42,91,44
2014,1,A,골목상권,1000865,사임당로17길,다이나믹,83,42,91,44
2014,1,A,골목상권,1000847,고무래로8길,다이나믹,81,40,91,44
2014,1,A,골목상권,1000035,동호로11길,상권확장,86,46,91,44
2014,1,A,골목상권,1000440,세검정로1길,정체,124,52,91,44
2014,1,A,골목상권,1000953,백제고분로50길,다이나믹,87,42,91,44
2014,1,A,골목상권,1000275,보문로26길,다이나믹,90,34,91,44
2014,1,A,골목상권,1000920,삼성로63길,다이나믹,73,38,91,44
2014,1,R,전통시장,1001297,뚝도시장,정체,103,53,91,44
2014,1,A,골목상권,1000626,구로동로15길,다이나믹,80,44,91,44
2014,1,A,골목상권,1000366,도봉로181길,상권축소,97,44,91,44
2014,1,A,골목상권,1000026,평창길,상권확장,86,65,91,44
2014,1,A,골목상권,1000559,강서로45길,다이나믹,80,42,91,44
2014,1,A,골목상권,1000181,망우로21길,정체,106,47,91,44
2014,1,A,골목상권,1000484,성산로4길,다이나믹,52,40,91,44
2014,1,A,골목상권,1000444,신촌로37길,정체,150,69,91,44
2014,1,D,발달상권,1001078,서울 강남구 강남역_2,다이나믹,85,41,91,44
2014,1,R,전통시장,1001282,약수시장,정체,104,47,91,44
2014,1,D,발달상권,1001197,장한평역_2,상권축소,99,44,91,44
2014,1,A,골목상권,1000462,도화길,정체,103,50,91,44
2014,1,A,골목상권,1000893,남부순환로365길,다이나믹,83,39,91,44
2014,1,A,골목상권,1000622,고척로27길,다이나믹,84,42,91,44
2014,1,A,골목상권,1000834,청룡길,정체,96,44,91,44
2014,1,A,골목상권,1000108,성수이로18길,상권축소,95,39,91,44
2014,1,A,골목상권,1000669,범안로17길,상권확장,81,48,91,44
2014,1,A,골목상권,1000011,숭인동길,상권축소,102,41,91,44
2014,1,A,골목상권,1000597,양천로73가길,상권확장,91,48,91,44
2014,1,R,전통시장,1001409,화곡중앙골목시장,정체,111,47,91,44
2014,1,A,골목상권,1000405,연서로28길,다이나믹,81,42,91,44
2014,1,A,골목상권,1000530,목동중앙서로8가길,다이나믹,86,38,91,44
2014,1,A,골목상권,1000258,용마산로118길,상권축소,94,39,91,44
2014,1,A,골목상권,1000215,한천로33길,상권축소,97,41,91,44
