STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD_NM,SVC_INDUTY_CD_NM,THSMON_SELNG_AMT
2013,1,골목상권,분식전문점,75433687.78836633
2013,1,골목상권,양식음식점,225435549.92682928
2013,1,골목상권,일식음식점,156264639.79054055
2013,1,골목상권,중식음식점,87858883.75301205
2013,1,골목상권,치킨전문점,84600780.41210374
2013,1,골목상권,커피·음료,103675941.0218281
2013,1,골목상권,패스트푸드점,97280426.70386267
2013,1,골목상권,한식음식점,778180138.6452261
2013,1,관광특구,분식전문점,3952016462.6666665
2013,1,관광특구,양식음식점,9210096884.333334
2013,1,관광특구,일식음식점,4171573881.8333335
2013,1,관광특구,중식음식점,2360074764.1666665
2013,1,관광특구,치킨전문점,1250988544.4
2013,1,관광특구,커피·음료,7790762931.5
2013,1,관광특구,패스트푸드점,2636219008.8333335
2013,1,관광특구,한식음식점,25566076208.5
2013,1,발달상권,분식전문점,689812396.5780591
2013,1,발달상권,양식음식점,1314446387.920398
2013,1,발달상권,일식음식점,928762982.7924528
2013,1,발달상권,중식음식점,418455856.03365386
2013,1,발달상권,치킨전문점,386949789.0277778
2013,1,발달상권,커피·음료,1207374520.7991803
2013,1,발달상권,패스트푸드점,497386332.23333335
2013,1,발달상권,한식음식점,5179732793.545455
2013,1,전통시장,분식전문점,90595891.20253165
2013,1,전통시장,양식음식점,229674073.3902439
2013,1,전통시장,일식음식점,151403240.0980392
2013,1,전통시장,중식음식점,67676441.1111111
2013,1,전통시장,치킨전문점,62697755.696078435
2013,1,전통시장,커피·음료,109422800.11340207
2013,1,전통시장,패스트푸드점,154862816.89855072
2013,1,전통시장,한식음식점,663446254.372549
2013,2,골목상권,분식전문점,87212542.47323601
2013,2,골목상권,양식음식점,238711808.42474917
2013,2,골목상권,일식음식점,166128603.8295082
2013,2,골목상권,중식음식점,88890743.76132931
2013,2,골목상권,치킨전문점,98017298.64957266
2013,2,골목상권,커피·음료,128281886.5596817
2013,2,골목상권,패스트푸드점,98545277.61914894
2013,2,골목상권,한식음식점,824355406.3507538
2013,2,관광특구,분식전문점,3941063000.6666665
2013,2,관광특구,양식음식점,8769375931.5
2013,2,관광특구,일식음식점,4120578075.1666665
2013,2,관광특구,중식음식점,2088843761.8333333
2013,2,관광특구,치킨전문점,1500234341.6
2013,2,관광특구,커피·음료,8807731080.833334
